Word,Meaning,Context,Region
గూటం,గుంజ,వాడు గూటం లాగా కదలకుండా నిల్చున్నాడు.,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
కూనం,గుర్తు,బిడ్డా నిన్ను జూసి చాన్నాళ్ళయిందిగా అందుకే కూనం పట్టలే.,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
రెట్ట,భుజం,వాడు నన్ను రెట్టవట్టి లాగిండు.,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
ఉంగ్లం ,నిప్పు కణిక ,ఉంగ్లం మీద పడి నా అంగి కాలింది ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
ఉసుక ,ఇసుక ,మా వాగుల మంచి ఉసుక దొరుకుతది ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
గొలక ,గుత్తి , చింతకాయలు గొలకలు గొలకలుగా కాసాయి  ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
నిర్వాం,వేరే దారి ,నేను చెప్పింది తప్ప వాడికి వేరే నిర్వాం లేదు ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
ఓరు ,ఎవరు ,మీ ఇంటికి ఓరొచ్చారు ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
మోడము ,మేఘం ,పొద్దుటి నుండి మోడం పడింది ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 
పగ్గం ,తాడు ,వాడికి పట్ట పగ్గాలు లేవు ,నారాయణపేట చుట్టుపక్కల గ్రామాలు 